Ga0394399_contigs	Ensifer terangae SEMIA 6460
GCF_003985145.1_ASM398514v1_genomic	Rhizobium anhuiense CCBAU 23252
GCF_003985155.1_ASM398515v1_genomic	Rhizobium vallis CCBAU 65647
GCF_003992625.1_ASM399262v1_genomic	Pelagibacterium lentulum B2
GCF_003992665.1_ASM399266v1_genomic	Pelagibacterium montanilacus CCL18
GCF_003993795.1_ASM399379v1_genomic	Aquabacter cavernae Sn-9-2
GCF_003994485.1_ASM399448v1_genomic	Arsenicitalea aurantiaca 42-50
GCF_004023665.1_ASM402366v1_genomic	Afifella aestuarii JA968
GCF_004103825.1_ASM410382v1_genomic	Hansschlegelia zhihuaiae S 113
GCF_004114425.1_ASM411442v1_genomic	Bradyrhizobium vignae LMG 28791
GCF_004114535.1_ASM411453v1_genomic	Bradyrhizobium nanningense CCBAU 53390
GCF_004114915.1_ASM411491v1_genomic	Bradyrhizobium guangxiense CCBAU 53363
GCF_004114935.1_ASM411493v1_genomic	Bradyrhizobium zhanjiangense CCBAU 51778
GCF_004114955.1_ASM411495v1_genomic	Bradyrhizobium guangzhouense CCBAU 51670
GCF_004114975.1_ASM411497v1_genomic	Bradyrhizobium guangdongense CCBAU 51649
GCF_004135935.1_ASM413593v1_genomic	Methylovirgula ligni BW863
GCF_004137085.1_ASM413708v1_genomic	Lichenibacterium ramalinae RmlP001
GCF_004137685.1_ASM413768v1_genomic	Lichenibacterium minor RmlP026
GCF_004216635.1_ASM421663v1_genomic	Variibacter gotjawalensis DSM 29671
GCF_004216655.1_ASM421665v1_genomic	Phyllobacterium myrsinacearum DSM 5893
GCF_004217385.1_ASM421738v1_genomic	Phyllobacterium myrsinacearum DSM 5892
GCF_004323635.1_ASM432363v1_genomic	Lichenihabitans psoromatis PAMC 29148
GCF_004328075.1_ASM432807v1_genomic	Siculibacillus lacustris SA-279
GCF_004331955.1_ASM433195v1_genomic	Roseitalea porphyridii MA7-20
GCF_004339465.1_ASM433946v1_genomic	Ancylobacter aquaticus DSM 101
GCF_004341645.1_ASM434164v1_genomic	Aminobacter aminovorans DSM 7048
GCF_004341885.1_ASM434188v1_genomic	Shinella granuli DSM 18401
GCF_004342915.1_ASM434291v1_genomic	Camelimonas lactis DSM 22958
GCF_004346185.1_ASM434618v1_genomic	Aquabacter spiritensis DSM 9035
GCF_004346195.1_ASM434619v1_genomic	Tepidamorphus gemmatus DSM 19345
GCF_004348265.1_ASM434826v1_genomic	Methylobacterium segetis 17J42-1
GCF_004354915.1_ASM435491v1_genomic	Pseudohoeflea suaedae YC6898
GCF_004358025.1_ASM435802v1_genomic	Rhizobium deserti SPY-1
GCF_004362745.1_ASM436274v1_genomic	Oharaeibacter diazotrophicus DSM 102969
GCF_004363175.1_ASM436317v1_genomic	Maritalea mobilis CGMCC 1.7002
GCF_004363725.1_ASM436372v1_genomic	Aquamicrobium defluvii DSM 11603
GCF_004363955.1_ASM436395v1_genomic	Enterovirga rhinocerotis DSM 25903
GCF_004365425.1_ASM436542v1_genomic	Rhizobium azibense 23C2
GCF_004458765.1_ASM445876v1_genomic	Microvirga pakistanensis NCCP-1258
GCF_004519335.1_ASM451933v1_genomic	Jiella endophytica CBS5Q-3
GCF_004801285.1_ASM480128v1_genomic	Mesorhizobium composti CC-YTH430
GCF_004802635.2_ASM480263v2_genomic	Methylocystis heyeri H2
GCF_004912135.1_ASM491213v1_genomic	Rhizobium rosettiformans W3
GCF_004912165.1_ASM491216v1_genomic	Rhizobium ipomoeae shin9-1
GCF_005145045.1_ASM514504v1_genomic	Agrobacterium larrymoorei CFBP5473
GCF_005871085.1_ASM587108v1_genomic	Xanthobacter autotrophicus DSM 432
GCF_005924265.1_ASM592426v1_genomic	Martelella lutilitoris GH2-6
GCF_005938105.1_ASM593810v1_genomic	Ochrobactrum haematophilum CCUG 38531
GCF_006335145.1_ASM633514v1_genomic	Rhizobium smilacinae PTYR-5
GCF_006376675.1_ASM637667v1_genomic	Ochrobactrum pecoris 08RB2639
GCF_006443685.1_ASM644368v1_genomic	Rhizobium glycinendophyticum CL12
GCF_006476605.1_ASM647660v1_genomic	Ochrobactrum gallinifaecis ISO 196
GCF_006539605.1_ASM653960v1_genomic	Sinorhizobium fredii NBRC 14780
GCF_006539645.1_ASM653964v1_genomic	Bradyrhizobium japonicum NBRC 14783
GCF_006539665.1_ASM653966v1_genomic	Bradyrhizobium elkanii NBRC 14791
GCF_007002985.1_ASM700298v1_genomic	Agrobacterium rhizogenes LMG150
GCF_007474605.1_ASM747460v1_genomic	Rhodoligotrophos appendicifer 120-1
GCF_007827505.1_ASM782750v1_genomic	Rhizobium mongolense USDA 1844 USDA 1844
GCF_007827695.1_ASM782769v1_genomic	Sinorhizobium medicae USDA1037
GCF_007830205.1_ASM783020v1_genomic	Bradyrhizobium daqingense CGMCC 1.10947
GCF_007830635.1_ASM783063v1_genomic	Bradyrhizobium huanghuaihaiense CGMCC 1.10948
GCF_007859655.1_ASM785965v1_genomic	Devosia ginsengisoli Gsoil 520
GCF_007991055.1_ASM799105v1_genomic	Methylobacterium radiotolerans NBRC 15690
GCF_007991675.1_ASM799167v1_genomic	Microvirga aerophila NBRC 106136
GCF_007992095.1_ASM799209v1_genomic	Rhizobium naphthalenivorans NBRC 107585
GCF_007992175.1_ASM799217v1_genomic	Methylobacterium haplocladii NBRC 107714
GCF_007992195.1_ASM799219v1_genomic	Methylobacterium oxalidis NBRC 107715
GCF_007992215.1_ASM799221v1_genomic	Methylobacterium gnaphalii NBRC 107716
GCF_008000755.1_ASM800075v1_genomic	Youhaiella tibetensis fig4
GCF_008123425.1_ASM812342v1_genomic	Bradyrhizobium rifense CTAW71
GCF_008123515.1_ASM812351v1_genomic	Bradyrhizobium cytisi CTAW11
GCF_008180215.1_ASM818021v1_genomic	Phyllobacterium endophyticum PEPV15
GCF_008630065.1_ASM863006v1_genomic	Blastochloris sulfoviridis DSM 729
GCF_008641065.1_ASM864106v1_genomic	Rhabdaerophilum calidifontis SYSU G02060
GCF_008757455.1_ASM875745v1_genomic	Microvirga brassicacearum CDVBN77
GCF_008801385.1_ASM880138v1_genomic	Agrobacterium tumefaciens CCUG 3354
GCF_008801705.1_ASM880170v1_genomic	Ochrobactrum pituitosum CCUG 50899
GCF_008801715.1_ASM880171v1_genomic	Pseudochrobactrum saccharolyticum CCUG 33852
GCF_008802405.1_ASM880240v1_genomic	Aureimonas leprariae YIM 132180
GCF_008806385.1_ASM880638v1_genomic	Methylobacterium soli YIM 48816
GCF_008932115.1_ASM893211v1_genomic	Bradyrhizobium betae PL7HG1
GCF_008932245.1_ASM893224v1_genomic	Ensifer alkalisoli YIC4027
GCF_008932295.1_ASM893229v1_genomic	Ochrobactrum tritici LMG 18957
GCF_009498475.1_ASM949847v1_genomic	Agrobacterium tumefaciens ICMP 5856T
GCF_009599935.1_ASM959993v1_genomic	Sinorhizobium medicae A321
GCF_009601385.1_ASM960138v1_genomic	Sinorhizobium meliloti USDA1002
GCF_009601405.1_ASM960140v1_genomic	Sinorhizobium fredii USDA205
GCF_009720755.1_ASM972075v1_genomic	Rhodoplanes serenus DSM 18633
GCF_009811675.1_ASM981167v1_genomic	Methylosinus sporium DSM 17706
GCF_009826855.1_ASM982685v1_genomic	Shinella zoogloeoides DSM 287
GCF_009827055.1_ASM982705v1_genomic	Shinella kummerowiae CCBAU 25048
GCF_009830105.1_ASM983010v1_genomic	Microvirga makkahensis KCTC 23863
GCF_009910475.1_ASM991047v1_genomic	Pyruvatibacter mobilis GYP-11
GCF_010500835.1_ASM1050083v1_genomic	Aurantimonas aggregata KCTC 52919
GCF_010669125.1_ASM1066912v1_genomic	Ancylobacter pratisalsi DSM 102029
GCF_011045115.1_ASM1104511v1_genomic	Mesorhizobium zhangyense CGMCC 1.15528
GCF_011045125.1_ASM1104512v1_genomic	Mesorhizobium camelthorni CCNWXJ 40-4
GCF_011045155.1_ASM1104515v1_genomic	Rhizobium daejeonense CCBAU10050
GCF_011317445.1_ASM1131744v1_genomic	Chelativorans multitrophicus DSM 9103
GCF_011317485.1_ASM1131748v1_genomic	Oharaeibacter diazotrophicus SM30
GCF_011317505.1_ASM1131750v1_genomic	Chelativorans oligotrophicus LPM-4
GCF_011761465.1_ASM1176146v1_genomic	Variibacter gotjawalensis CECT 8514
GCF_013004495.1_ASM1300449v1_genomic	Rhizobium gallicum SEMIA 4085
GCF_900045375.1_AHY_PRJEB12187_v1_genomic	Agrobacterium tumefaciens B6 B6
GCF_900094545.1_IMG-taxon_2617270742_annotated_assembly_genomic	Rhizobium miluonense HAMBI 2971
GCF_900094555.1_IMG-taxon_2615840609_annotated_assembly_genomic	Rhizobium hainanense CCBAU 57015
GCF_900094565.1_IMG-taxon_2615840626_annotated_assembly_genomic	Rhizobium lusitanum P1-7
GCF_900094575.1_IMG-taxon_2617270741_annotated_assembly_genomic	Bradyrhizobium yuanmingense CCBAU 10071
GCF_900094585.1_IMG-taxon_2615840698_annotated_assembly_genomic	Rhizobium multihospitium HAMBI 2975
GCF_900094605.1_IMG-taxon_2617270735_annotated_assembly_genomic	Bradyrhizobium shewense ERR11
GCF_900094625.1_IMG-taxon_2615840624_annotated_assembly_genomic	Rhizobium aethiopicum HBR26
GCF_900099775.1_IMG-taxon_2596583570_annotated_assembly_genomic	Rhizobium loessense CGMCC 1.3401
GCF_900099905.1_IMG-taxon_2675903064_annotated_assembly_genomic	Mesorhizobium muleiense CGMCC 1.11022
GCF_900100155.1_IMG-taxon_2596583652_annotated_assembly_genomic	Ancylobacter rudongensis CGMCC 1.1761
GCF_900100455.1_IMG-taxon_2675903017_annotated_assembly_genomic	Roseospirillum parvum 930I
GCF_900100665.1_IMG-taxon_2617270882_annotated_assembly_genomic	Pelagibacterium luteolum CGMCC 1.10267
GCF_900102105.1_IMG-taxon_2671180227_annotated_assembly_genomic	Rhizobium pusense LMG 25623
GCF_900102135.1_IMG-taxon_2596583582_annotated_assembly_genomic	Microvirga guangxiensis CGMCC 1.7666
GCF_900102525.1_IMG-taxon_2675903146_annotated_assembly_genomic	Bosea robiniae DSM 26672
GCF_900102695.1_IMG-taxon_2595699009_annotated_assembly_genomic	Afifella marina DSM 2698 DSM 2698
GCF_900103325.1_IMG-taxon_2596583656_annotated_assembly_genomic	Mesorhizobium qingshengii CGMCC 1.12097
GCF_900103445.1_IMG-taxon_2651870120_annotated_assembly_genomic	Methylobacterium phyllostachyos BL47
GCF_900104305.1_IMG-taxon_2617270918_annotated_assembly_genomic	Filomicrobium insigne CGMCC 1.6497
GCF_900104485.1_IMG-taxon_2597490370_annotated_assembly_genomic	Bauldia litoralis ATCC 35022
GCF_900108245.1_IMG-taxon_2622736433_annotated_assembly_genomic	Bosea lathyri DSM 26656
GCF_900108425.1_Tibet_genomic	Rhizobium tibeticum 
GCF_900109605.1_IMG-taxon_2617270885_annotated_assembly_genomic	Rhizobium oryzae CGMCC 1.7048
GCF_900110205.1_IMG-taxon_2671180023_annotated_assembly_genomic	Rhizobium tibeticum CGMCC 1.7071
GCF_900110435.1_IMG-taxon_2671180228_annotated_assembly_genomic	Rhodopseudomonas pseudopalustris DSM 123
GCF_900112505.1_IMG-taxon_2617270931_annotated_assembly_genomic	Devosia psychrophila CGMCC 1.10210
GCF_900113465.1_IMG-taxon_2651870129_annotated_assembly_genomic	Methylobacterium phyllosphaerae CBMB27
GCF_900113485.1_IMG-taxon_2651870128_annotated_assembly_genomic	Methylobacterium gossipiicola Gh-105
GCF_900113935.1_IMG-taxon_2595699008_annotated_assembly_genomic	Aquamicrobium aerolatum DSM 21857
GCF_900114255.1_IMG-taxon_2616644812_annotated_assembly_genomic	Mesorhizobium albiziae DSM 21822
GCF_900114285.1_IMG-taxon_2675903028_annotated_assembly_genomic	Methylocapsa palsarum NE2
GCF_900114375.1_IMG-taxon_2617270908_annotated_assembly_genomic	Methylorubrum salsuginis CGMCC 1.6474
GCF_900114535.1_IMG-taxon_2654588108_annotated_assembly_genomic	Methylobacterium pseudosasicola BL36
GCF_900114935.1_IMG-taxon_2651870105_annotated_assembly_genomic	Pleomorphomonas diazotrophica R5-392
GCF_900115225.1_IMG-taxon_2617270874_annotated_assembly_genomic	Cohaesibacter marisflavi CGMCC 1.9157
GCF_900116175.1_IMG-taxon_2636416034_annotated_assembly_genomic	Hyphomicrobium facile DSM 1565
GCF_900116545.1_IMG-taxon_2675903690_annotated_assembly_genomic	Devosia crocina IPL20
GCF_900116675.1_IMG-taxon_2654588141_annotated_assembly_genomic	Bradyrhizobium arachidis LMG 26795
GCF_900119845.1_IMG-taxon_2596583700_annotated_assembly_genomic	Devosia enhydra ATCC 23634
GCF_900128975.1_IMG-taxon_2582580747_annotated_assembly_genomic	Devosia limi DSM 17137 DSM 17137
GCF_900129325.1_IMG-taxon_2582581302_annotated_assembly_genomic	Kaistia soli DSM 19436 DSM 19436
GCF_900141975.1_IMG-taxon_2585427611_annotated_assembly_genomic	Aureimonas altamirensis DSM 21988 
GCF_900148505.1_IMG-taxon_2585428043_annotated_assembly_genomic	Pseudoxanthobacter soli DSM 19599
GCF_900167365.1_IMG-taxon_2657245368_annotated_assembly_genomic	Consotaella salsifontis USBA 369
GCF_900168195.1_IMG-taxon_2595698224_annotated_assembly_genomic	Bosea thiooxidans DSM 9653
GCF_900176465.1_IMG-taxon_2718217637_annotated_assembly_genomic	Fulvimarina manganoxydans CGMCC 1.10972
GCF_900177655.1_IMG-taxon_2708742467_annotated_assembly_genomic	Devosia lucknowensis L15
GCF_900185775.1_PRJEB21083_genomic	Bartonella mastomydis 8
GCF_900187365.1_IMG-taxon_2724679731_annotated_assembly_genomic	Rhodoblastus acidophilus DSM 137
GCF_900215605.1_IMG-taxon_2728369261_annotated_assembly_genomic	Cohaesibacter gelatinilyticus DSM 18289
GCF_900218015.1_IMG-taxon_2740891836_annotated_assembly_genomic	Rhodopseudomonas pentothenatexigens JA575
GCF_900220975.1_IMG-taxon_2740891857_annotated_assembly_genomic	Rhizobium subbaraonis JC85
GCF_900220985.1_IMG-taxon_2740891889_annotated_assembly_genomic	Hoeflea halophila KCTC 23107
GCF_900231165.1_HDIA1_genomic	Hartmannibacter diazotrophicus E19T
GCF_900234795.1_TK0001_PRJEB23178_v1_genomic	Methylorubrum extorquens TK 0001
GCF_900445155.1_52067_E01_genomic	Afipia felis NCTC12499
GCF_900445235.1_53618_D01_genomic	Aminobacter aminovorans NCTC10684
GCF_900445535.1_57948_H01_genomic	Bartonella doshiae NCTC12862
GCF_900445635.1_51184_C02_genomic	Bartonella grahamii NCTC12860
GCF_900446005.1_58116_B01_genomic	Brucella abortus NCTC10093
GCF_900446125.1_57572_C01_genomic	Brucella neotomae NCTC10084
GCF_900446135.1_58116_C01_genomic	Brucella ovis NCTC10512
GCF_900454225.1_34576_H01_genomic	Ochrobactrum intermedium NCTC12171
GCF_900454235.1_34576_A02_genomic	Ochrobactrum anthropi NCTC12168
GCF_900460605.1_58116_D02_genomic	Brucella suis NCTC10316
GCF_902141855.1_SW08-7_genomic	Methylobacterium dankookense SW08-7
GCF_902150025.1_PRJEB33160_genomic	Bartonella massiliensis OS09
GCF_902153235.1_JP120.1_genomic	Rhizobium halotolerans AB21
GCF_902153245.1_JP121.1_genomic	Rhizobium endolithicum JC140
GCF_902162175.1_PRJEB33358_genomic	Bartonella saheliensis 77
GCF_902502825.1_E03_1.2_genomic	Rhizobium flavum YW14
